Key,           Name
barcelona,     FC Barcelona
espanyol,      RCD Espanyol

madrid,        Real Madrid
atletico,      Atlético Madrid
getafe,        Getafe CF
rayo,          Rayo Vallecano

sevilla,       Sevilla FC
valencia,      Valencia CF
levante,       Levante UD
malaga,        Málaga CF
athletic,      Athletic Club
granada,       Granada CF
celta,         Celta Vigo
realsociedad,  Real Sociedad San Sebastián
valladolid,    Real Valladolid CF
deportivo,     Deportivo La Coruña
eibar,         SD Eibar
betis,         Real Betis Sevilla
sporting,      Sporting Gijón
laspalmas,     UD Las Palmas

elche,         Elche CF
almeria,       UD Almería
cordoba,       Córdoba CF
osasuna,       CA Osasuna
villareal,     Villarreal CF
alcorcon,      AD Alcorcón
sabadell,      CE Sabadell FC
lugo,          CD Lugo
mirandes,      CD Mirandés
numancia,      CD Numancia
tenerife,      CD Tenerife
alaves,        Deportivo Alavés
barcelonab,    FC Barcelona B
girona,        Girona FC
hercules,      Hércules CF
mallorca,      RCD Mallorca
recreativo,    RC Recreativo de Huelva
jaen,          Real Jaén CF
castilla,      Real Madrid Castilla
murcia,        Real Murcia CF
zaragoza,      Real Zaragoza
ponferradina,  SD Ponferradina
leganes,       CD Leganés
